,file_name,count,Point,Percent,TFIDF
0,OLVEA - OLVEAct Now Report - EN - 2019-20.pdf,29122,5,0.67%,1.5075567228888185
1,20150416_COP_N°5_EN.pdf,11939,0,0.21%,0.0
2,2017_report_-_FINAL__UNLOCKED.pdf,226975,1,0.4%,1.0
3,COP_Report_SMART_-_Apr_2013_final.pdf,37025,1,0.51%,1.0
4,cop_ETS_2019.pdf,35188,2,0.39%,1.414213562373095
5,Orkla_Annual_Report_2014.pdf,463816,4,0.39%,1.6329931618554523
6,Tabadlab Communication on Progress .pdf,2926,0,0.0%,0.0
7,GRUPO_CLARIN_COP_2017.pdf,40574,5,0.52%,1.6666666666666663
8,2020_report_en.pdf,326147,110,1.07%,1.907928861123891
9,Suzano_Sustainability-Report-2017.pdf,150688,19,0.69%,1.600088650026386
10,Tendam_SustainabilityReport2020_EN.pdf,217179,68,0.77%,1.619047619047619
11,VCT_REPORT_2017_vf.pdf,161144,14,0.42%,1.3598002073001698
12,COP_REPORT_2020.pdf,13714,0,0.57%,0.0
13,Farstad_Shipping_Communication_on_Progress_2015.pdf,22399,1,0.7%,1.0
14,wolters-kluwer_2016_sustainability_report_annexes.pdf,32679,2,0.16%,1.414213562373095
15,UN_Global_Compact_Report_Kamstrup_2015.pdf,39946,2,0.25%,1.414213562373095
16,UNGC_COP_Dec_2012.pdf,5266,0,0.26%,0.0
17,Kaluworks_COP_2011-2012.pdf,10781,1,0.29%,1.0
18,SWA_Magazine-COP-2013_200613.pdf,5867,0,0.51%,0.0
19,F00285_relatorio_1200x800px_ingles.pdf,51656,1,0.27%,1.0
20,MRCB_CSR_3105.pdf,57241,6,0.65%,1.7320508075688774
21,COP_UNGC_2019_%28JAN-DEC%29.pdf,27979,6,0.53%,1.1766968108291045
22,PnP_COP_1August2012.pdf,11600,1,0.39%,1.0
23,Scania_COP_April_2015.pdf,5869,0,0.2%,0.0
24,Global Compact COP %283%29.pdf,763,0,0.51%,0.0
25,2014_Communication_on_Progress_eBay_Inc.pdf,90221,12,0.9%,2.1213203435596424
26,AF_Gruppen_-_Corporate_Responsibility_-_Annual_Report_2017.pdf,21343,3,0.44%,1.3416407864998738
27,LIXIL_CR2019_EN.pdf,85986,28,1.44%,2.2861904265976327
28,Sustainability Report 2020 V3 .pdf,40576,10,0.54%,1.0
29,Skanska_Annual_Report_2010___HR_Employees_110314.pdf,8187,0,0.55%,0.0
30,COP_Report_2017.pdf,12669,1,0.37%,1.0
31,Cowater_International_-_Report_on_Progress.pdf,18947,4,0.31%,1.6329931618554523
32,UNGC_COP.pdf,11184,0,0.22%,0.0
33,Messe_Frankfurt_GmbH_COP_2016_2017_en.pdf,31599,2,0.7%,1.414213562373095
34,SBAB_Sustainability_Report_2014_Index_eng.pdf,63335,5,0.45%,2.23606797749979
35,UNGC-121012-TEAM-CoP_2012-Kiroyan_Partners-FINAL.pdf,11143,0,0.23%,0.0
36,Pro Sustainability COP2020_EN.pdf,10434,0,0.0%,0.0
37,Fennovoimas_Year_2020_report.pdf,129894,18,0.52%,2.3237900077244507
38,cop_2019_solidny_partner.pdf,9170,0,0.34%,0.0
39,Edinburgh_International_UNGC_COP_2014.pdf,26099,0,0.47%,0.0
40,environ_2014.pdf,6287,0,0.47%,0.0
41,BD_2265_Communication_Progress_2012_V1.pdf,2204,1,2.24%,1.0
42,Thales_CRAR_2010_Accessible.pdf,109298,19,0.64%,2.193931022920577
43,30_000_634_B_-_SAGEMCOM_COP_2012.pdf,59401,4,0.55%,1.2649110640673518
44,NA_COPreport_2011.pdf,12537,0,0.39%,0.0
45,ABInBevGRI-Index2015.pdf,30973,3,0.93%,1.7320508075688776
46,COP_2013-2014.pdf,5273,0,0.13%,0.0
47,IDEMIA_CSR-Report-2018_24p_201912_web.pdf,83333,26,0.73%,1.9379255804998177
48,FPL_SR_2018_%28Published%29.pdf,83063,9,1.08%,1.405563856997455
49,CSR_Rapport_UK_2018.pdf,20755,6,0.85%,2.1213203435596424
50,Statement-UN_GLOBAL_COMPACT-31December2014_.pdf,9725,0,0.23%,0.0
51,FINAL_-_AGL_UNGC_COP_2017.pdf,4592,1,0.3%,1.0
52,UN GLOBAL COMPACT_NGS.pdf,16333,0,0.01%,0.0
53,Annual report 2012.pdf,168429,11,0.45%,1.094540909230988
54,Sustainability_Report_2019_final.pdf,24996,2,0.43%,1.0
55,2011kcxbg-en.pdf,159500,68,0.96%,1.959727420194399
56,Final_web_spreads_A4_P_COP_REPORT_2017_ENG_RITM0035132_iear.pdf,40536,13,0.86%,1.2686700948330931
57,CSR_Chaya_-_english_version.pdf,13368,0,0.62%,0.0
58,COP_Update_Letter_2015.pdf,542,0,0.18%,0.0
59,NIBC_Annual_Report_2012.pdf,556617,19,0.43%,1.5067980128644742
60,OKQ8_ScandinaviaSustainability_Report_2019_20_final_webENG.pdf,75691,10,0.75%,2.041241452319315
61,20141001_COP__GlobalCompact_HRAPharma.pdf,16715,4,0.51%,1.2649110640673518
62,UN Global Compact report 2020_FINAL.pdf,17114,0,0.55%,0.0
63,GPT Sustainability Report 2020.pdf,222893,57,1.12%,1.2312996900585242
64,Raya_Communication_on_Progress_-_2012-2013.pdf,20120,0,0.48%,0.0
65,bio-bean UN Global Compact COP 2020.pdf,4440,0,0.37%,0.0
66,OMOSTEV_COP_2018.pdf,15158,0,0.25%,0.0
67,Ekornes_COP_2014.pdf,42025,3,0.42%,1.7320508075688776
68,190808-FY19-Sustainability-Fact-Sheet.pdf,3944,1,1.6%,1.0
69,EVERLESS_SGD_REPORT.pdf,10251,1,0.37%,1.0
70,nkt_cables_COP_Report_2015.pdf,13069,0,0.39%,0.0
71,NISSENS_COP_Report_2019.pdf,12858,0,0.17%,0.0
72,UN_COP_Orana_Group_2017-18.pdf,7501,2,0.56%,1.414213562373095
73,Communication_in_Progress_2016_cbc.pdf,33917,10,0.59%,1.8257418583505536
74,2017_Aurubis_Global_Compact_EN_final.pdf,18041,1,0.41%,1.0
